"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест с параметризацией для демонстрации разнообразия.","1","Параметризованные тесты","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestSmoke","test_smoke","",""
"Тест интеграции с SOAP Userdata сервисом.","1","Интеграция SOAP: получение данных пользователя","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestSoapIntegration","test_integration","",""
"Тест интеграции события создания траты в Kafka.","0","Интеграция Kafka: событие траты","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestKafkaIntegration","test_integration","",""
"Тест с логированием в Allure отчет.","0","Тест с логированием в Allure","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestSmoke","test_smoke","",""
"Тест валидации и сохранения трат в БД.","1","Интеграция БД: сохранение траты с валидацией","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestDatabaseIntegration","test_integration","",""
"Тест с параметризацией для демонстрации разнообразия.","0","Параметризованные тесты","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestSmoke","test_smoke","",""
"Тест интеграции обновления профиля через SOAP.","0","Интеграция SOAP: обновление профиля","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestSoapIntegration","test_integration","",""
"Простой тест без зависимостей.","0","Простой assert тест","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestSmoke","test_smoke","",""
"Тест интеграции получения списка трат.","1","Интеграция API: получение списка трат","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestAPIIntegration","test_integration","",""
"Тест с множеством шагов для демонстрации.","0","Тест с множественными шагами","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestSmoke","test_smoke","",""
"Тест с параметризацией для демонстрации разнообразия.","1","Параметризованные тесты","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestSmoke","test_smoke","",""
"Тест интеграции с gRPC Currency сервисом.","0","Интеграция gRPC: получение курса валюты","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestGrpcIntegration","test_integration","",""
"Тест проверяет строковые операции.","1","Тест со строковыми операциями","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestSmoke","test_smoke","",""
"Базовый тест для проверки что Allure отчет генерируется.","0","Проверка работы Allure отчета","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestSmoke","test_smoke","",""
"Тест с параметризацией для демонстрации разнообразия.","0","Параметризованные тесты","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestSmoke","test_smoke","",""
"Тест CRUD операций с категориями в БД.","0","Интеграция БД: сохранение и чтение категории","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestDatabaseIntegration","test_integration","",""
"Тест проверяет что CI окружение работает.","0","Тест GitHub Actions CI","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestSmoke","test_smoke","",""
"Тест проверяет Python версию и основные модули.","1","Тест работоспособности Python окружения","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestSmoke","test_smoke","",""
"Тест интеграции добавления категории через API.","0","Интеграция API: добавление категории","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestAPIIntegration","test_integration","",""
"Тест проверяет структуру REST API ответа.","0","Проверка структуры REST API response","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestAPIIntegration","test_integration","",""
"Тест полного цикла добавления траты через все компоненты.","0","Интеграция: Добавление траты (API + DB + Kafka)","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestMultiComponentIntegration","test_integration","",""
"Тест интеграции преобразования валют через gRPC.","0","Интеграция: Преобразование валют (gRPC + DB + API)","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestMultiComponentIntegration","test_integration","",""
"Тест с параметризацией для демонстрации разнообразия.","1","Параметризованные тесты","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestSmoke","test_smoke","",""
"Тест интеграции события регистрации в Kafka.","0","Интеграция Kafka: регистрация пользователя","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestKafkaIntegration","test_integration","",""
"Тест демонстрирует работу attachments в Allure.","0","Демо тест с attachments","tests","Thu Apr 02 16:59:39 UTC 2026","passed","Thu Apr 02 16:59:39 UTC 2026","TestSmoke","test_smoke","",""
